original_url,destination,status,sitemap
https://colorsofdesign.com/es/tienda-online/los-mas-vendidos-venta-online-miami-florida/,,Keep on legacy site until Spanish content is migrated,pages
https://colorsofdesign.com/es/tienda-online/especiales-del-dia-venta-online-miami-florida/,,Keep on legacy site until Spanish content is migrated,pages
https://colorsofdesign.com/es/nosotros/,,Keep on legacy site until Spanish content is migrated,pages
https://colorsofdesign.com/es/terminos-y-condiciones/,,Keep on legacy site until Spanish content is migrated,pages
https://colorsofdesign.com/es/blog-de-diseno-de-interiores/,,Keep on legacy site until Spanish content is migrated,pages
https://colorsofdesign.com/online-store/,,Keep on legacy commerce site; separate commerce migration required,pages
https://colorsofdesign.com/es/tienda-online-de-diseno-de-interiores/,,Keep on legacy site until Spanish content is migrated,pages
https://colorsofdesign.com/interior-design-online-consultations/,,Legacy content: migrate or explicitly retire before domain cutover,pages
https://colorsofdesign.com/miami-interior-design-services/,/services/,Permanent redirect configured,pages
https://colorsofdesign.com/about-us/,/about-us/,Preserved,pages
https://colorsofdesign.com/interior-design-portfolio/,/work/,Permanent redirect configured,pages
https://colorsofdesign.com/interior-design-online-shop/,,Keep on legacy commerce site; separate commerce migration required,pages
https://colorsofdesign.com/es/proyectos-diseno-interior/,,Keep on legacy site until Spanish content is migrated,pages
https://colorsofdesign.com/awards-and-recognitions/,,Legacy content: migrate or explicitly retire before domain cutover,pages
https://colorsofdesign.com/es/,,Keep on legacy site until Spanish content is migrated,pages
https://colorsofdesign.com/services/,/services/,Preserved,services
https://colorsofdesign.com/services/budget-management/,/services/budget-management/,Preserved,services
https://colorsofdesign.com/services/project-management/,/services/project-management/,Preserved,services
https://colorsofdesign.com/services/interior-architecture/,/services/interior-architecture/,Preserved,services
https://colorsofdesign.com/services/interior-design/,/services/interior-design/,Preserved,services
https://colorsofdesign.com/services/fengshui/,/services/feng-shui/,Permanent redirect configured,services
https://colorsofdesign.com/es/services/planificacion-de-espacio/,,Keep on legacy site until Spanish content is migrated,services
https://colorsofdesign.com/es/services/gestion-de-proyectos/,,Keep on legacy site until Spanish content is migrated,services
https://colorsofdesign.com/es/services/diseno-de-iluminacion/,,Keep on legacy site until Spanish content is migrated,services
https://colorsofdesign.com/es/services/diseno-de-muebles/,,Keep on legacy site until Spanish content is migrated,services
https://colorsofdesign.com/es/services/administracion-de-presupuesto/,,Keep on legacy site until Spanish content is migrated,services
https://colorsofdesign.com/es/services/feng-shui/,,Keep on legacy site until Spanish content is migrated,services
https://colorsofdesign.com/es/services/arquitectura-de-interiores/,,Keep on legacy site until Spanish content is migrated,services
https://colorsofdesign.com/es/services/diseno-de-interiores/,,Keep on legacy site until Spanish content is migrated,services
https://colorsofdesign.com/services/lighting-design/,/services/lighting-design/,Preserved,services
https://colorsofdesign.com/services/furniture-design/,/services/furniture-design/,Preserved,services
https://colorsofdesign.com/services/turn-key-services/,/services/turn-key-services/,Preserved,services
https://colorsofdesign.com/services/space-planning/,/services/space-planning/,Preserved,services
https://colorsofdesign.com/es/services/servicio-turn-key/,,Keep on legacy site until Spanish content is migrated,services
https://colorsofdesign.com/es/services/renderizado-3d/,,Keep on legacy site until Spanish content is migrated,services
https://colorsofdesign.com/services/3d-rendering/,/services/3d-rendering/,Preserved,services
https://colorsofdesign.com/es/services/carpinteria-personalizada/,,Keep on legacy site until Spanish content is migrated,services
https://colorsofdesign.com/services/custom-woodwork/,/services/custom-woodwork/,Preserved,services
https://colorsofdesign.com/es/services/,,Keep on legacy site until Spanish content is migrated,services
https://colorsofdesign.com/projects-item/,/work/,Permanent redirect configured,projects
https://colorsofdesign.com/projects-item/renders/,,Legacy content: migrate or explicitly retire before domain cutover,projects
https://colorsofdesign.com/projects-item/zelenger/,,Legacy content: migrate or explicitly retire before domain cutover,projects
https://colorsofdesign.com/projects-item/sunny-isles/,,Legacy content: migrate or explicitly retire before domain cutover,projects
https://colorsofdesign.com/projects-item/chicago/,,Legacy content: migrate or explicitly retire before domain cutover,projects
https://colorsofdesign.com/projects-item/coral-gables/,/work/coral-gables-estate/,Permanent redirect configured,projects
https://colorsofdesign.com/projects-item/children/,,Legacy content: migrate or explicitly retire before domain cutover,projects
https://colorsofdesign.com/es/projects-item/delray-beach-2/,,Keep on legacy site until Spanish content is migrated,projects
https://colorsofdesign.com/es/projects-item/coral-gables-2/,,Keep on legacy site until Spanish content is migrated,projects
https://colorsofdesign.com/es/projects-item/zelenger-2/,,Keep on legacy site until Spanish content is migrated,projects
https://colorsofdesign.com/es/projects-item/sunny-isles-2/,,Keep on legacy site until Spanish content is migrated,projects
https://colorsofdesign.com/es/projects-item/renders-2/,,Keep on legacy site until Spanish content is migrated,projects
https://colorsofdesign.com/es/projects-item/ninos/,,Keep on legacy site until Spanish content is migrated,projects
https://colorsofdesign.com/es/projects-item/chicago-2/,,Keep on legacy site until Spanish content is migrated,projects
https://colorsofdesign.com/es/projects-item/miami-beach-2/,,Keep on legacy site until Spanish content is migrated,projects
https://colorsofdesign.com/es/projects-item/builder-2/,,Keep on legacy site until Spanish content is migrated,projects
https://colorsofdesign.com/projects-item/builder/,,Legacy content: migrate or explicitly retire before domain cutover,projects
https://colorsofdesign.com/projects-item/delray-beach/,/work/delray-beach-interior-design/,Permanent redirect configured,projects
https://colorsofdesign.com/projects-item/key-biscayne/,,Legacy content: migrate or explicitly retire before domain cutover,projects
https://colorsofdesign.com/projects-item/mc-intyre/,,Legacy content: migrate or explicitly retire before domain cutover,projects
https://colorsofdesign.com/projects-item/south-point-miami-beach/,,Legacy content: migrate or explicitly retire before domain cutover,projects
https://colorsofdesign.com/projects-item/park-grove/,,Legacy content: migrate or explicitly retire before domain cutover,projects
https://colorsofdesign.com/projects-item/miami-beach/,,Legacy content: migrate or explicitly retire before domain cutover,projects
https://colorsofdesign.com/projects-item/massi/,,Legacy content: migrate or explicitly retire before domain cutover,projects
https://colorsofdesign.com/projects-item/pinecrest/,,Legacy content: migrate or explicitly retire before domain cutover,projects
https://colorsofdesign.com/projects-item/asheville-north-carolina/,/work/asheville/,Permanent redirect configured,projects
https://colorsofdesign.com/es/projects-item/park-grove-2/,,Keep on legacy site until Spanish content is migrated,projects
https://colorsofdesign.com/es/projects-item/key-biscayne-2/,,Keep on legacy site until Spanish content is migrated,projects
https://colorsofdesign.com/es/projects-item/south-point-miami-beach-2/,,Keep on legacy site until Spanish content is migrated,projects
https://colorsofdesign.com/es/projects-item/mc-intyre-2/,,Keep on legacy site until Spanish content is migrated,projects
https://colorsofdesign.com/es/projects-item/asheville-nc/,,Keep on legacy site until Spanish content is migrated,projects
https://colorsofdesign.com/es/projects-item/massi-2/,,Keep on legacy site until Spanish content is migrated,projects
https://colorsofdesign.com/es/projects-item/pinecrest-2/,,Keep on legacy site until Spanish content is migrated,projects
https://colorsofdesign.com/es/projects-item/,,Keep on legacy site until Spanish content is migrated,projects
https://colorsofdesign.com/interior-design-blog/,/interior-design-blog/,Preserved,posts
https://colorsofdesign.com/feng-shui-design-services/steps-to-a-happy-home-feng-shui-techniques/,,Legacy content: migrate or explicitly retire before domain cutover,posts
https://colorsofdesign.com/art-basel-miami-beach-florida/art-basel-lets-go-art-shopping/,,Legacy content: migrate or explicitly retire before domain cutover,posts
https://colorsofdesign.com/es/tendencias-wallpaper/tendencias-en-diseno-de-interiores-de-2020/,,Keep on legacy site until Spanish content is migrated,posts
https://colorsofdesign.com/es/art-basel-miami-beach-florida-es/art-basel-miami-arte-moderno-y-contemporaneo/,,Keep on legacy site until Spanish content is migrated,posts
https://colorsofdesign.com/es/feng-shui-es/pasos-para-un-hogar-feliz-tecnicas-de-feng-shui/,,Keep on legacy site until Spanish content is migrated,posts
https://colorsofdesign.com/es/premios/best-of-houzz-2020-premio-para-colors-of-design-group/,,Keep on legacy site until Spanish content is migrated,posts
https://colorsofdesign.com/es/tips-para-el-hogar/la-importancia-de-ordenar-su-hogar/,,Keep on legacy site until Spanish content is migrated,posts
https://colorsofdesign.com/home-decor-tips/the-importance-of-declutter-your-home/,,Legacy content: migrate or explicitly retire before domain cutover,posts
https://colorsofdesign.com/awards/best-of-houzz-2020-colors-of-design-group/,,Legacy content: migrate or explicitly retire before domain cutover,posts
https://colorsofdesign.com/home-decor-tips/5-ways-to-make-your-home-feel-like-a-five-star-hotel/,,Legacy content: migrate or explicitly retire before domain cutover,posts
https://colorsofdesign.com/es/tips-para-el-hogar/5-tips-para-que-su-hogar-se-sienta-como-un-hotel-de-lujo/,,Keep on legacy site until Spanish content is migrated,posts
https://colorsofdesign.com/es/promociones-y-descuentos/el-regalo-perfecto-una-gift-card/,,Keep on legacy site until Spanish content is migrated,posts
https://colorsofdesign.com/color-palettes/color-experts-of-the-design-blue-2020/,,Legacy content: migrate or explicitly retire before domain cutover,posts
https://colorsofdesign.com/es/paleta-de-colores/expertos-en-colores-azul-2020/,,Keep on legacy site until Spanish content is migrated,posts
https://colorsofdesign.com/es/tips-para-el-hogar/consultas-de-diseno-online/,,Keep on legacy site until Spanish content is migrated,posts
https://colorsofdesign.com/es/paleta-de-colores/colores-pastel-en-diseno-de-interiores/,,Keep on legacy site until Spanish content is migrated,posts
https://colorsofdesign.com/promotions-and-discounts-in-miami/buy-a-gift-card/,,Legacy content: migrate or explicitly retire before domain cutover,posts
https://colorsofdesign.com/home-decor-tips/5-ways-to-prepare-for-your-design-consultation/,/home-decor-tips/5-ways-to-prepare-for-your-design-consultation/,Preserved,posts
https://colorsofdesign.com/wallpaper-design-trends/interior-design-trends-of-2020/,,Legacy content: migrate or explicitly retire before domain cutover,posts
https://colorsofdesign.com/color-palettes/pastel-colours-in-your-interior-design/,,Legacy content: migrate or explicitly retire before domain cutover,posts
https://colorsofdesign.com/awards/colors-of-design-awarded-best-of-houzz-2022/,,Legacy content: migrate or explicitly retire before domain cutover,posts
https://colorsofdesign.com/es/premios/colors-of-design-premiado-como-best-of-houzz-2022/,,Keep on legacy site until Spanish content is migrated,posts
https://colorsofdesign.com/es/tendencias-de-diseno/tendencias-de-diseno-colores/,,Keep on legacy site until Spanish content is migrated,posts
https://colorsofdesign.com/es/tendencias-de-diseno/tendencias-de-diseno-iluminacion/,,Keep on legacy site until Spanish content is migrated,posts
https://colorsofdesign.com/es/tendencias-de-diseno/tendencias-de-diseno-sostenible/,,Keep on legacy site until Spanish content is migrated,posts
https://colorsofdesign.com/design-trends/design-trends-colors/,,Legacy content: migrate or explicitly retire before domain cutover,posts
https://colorsofdesign.com/design-trends/design-trends-lighting/,,Legacy content: migrate or explicitly retire before domain cutover,posts
https://colorsofdesign.com/design-trends/responsible-design-and-manufacture/,,Legacy content: migrate or explicitly retire before domain cutover,posts
https://colorsofdesign.com/design-trends/transform-your-home/,,Legacy content: migrate or explicitly retire before domain cutover,posts
https://colorsofdesign.com/design-trends/interior-design-inspiration/,,Legacy content: migrate or explicitly retire before domain cutover,posts
https://colorsofdesign.com/home-decor-tips/interior-design-services/,,Legacy content: migrate or explicitly retire before domain cutover,posts
